customer_id,email_timestamp,email_type
5,2023-01-09,reactivation
5,2023-01-19,reactivation
5,2023-01-27,update
5,2023-01-18,promo
16,2023-01-22,reactivation
16,2023-01-19,promo
16,2023-02-16,newsletter
31,2023-02-12,reactivation
31,2023-02-01,reactivation
31,2023-02-14,update
31,2023-02-07,reactivation
33,2023-02-13,reactivation
33,2023-02-03,update
35,2023-01-17,reactivation
39,2023-02-05,reactivation
39,2023-02-13,update
39,2023-02-09,promo
40,2023-01-28,reactivation
40,2023-02-12,newsletter
40,2023-02-01,promo
41,2023-01-27,reactivation
44,2023-01-07,reactivation
44,2023-01-06,promo
44,2023-01-25,update
44,2023-01-02,promo
47,2023-01-16,reactivation
47,2023-01-19,promo
49,2023-01-20,reactivation
50,2023-02-11,reactivation
50,2023-02-21,promo
50,2023-02-26,reactivation
50,2023-02-03,newsletter
52,2023-01-25,reactivation
52,2023-01-12,reactivation
52,2023-01-17,update
52,2023-01-21,update
55,2023-02-09,reactivation
55,2023-02-23,update
58,2023-01-19,reactivation
58,2023-01-18,reactivation
58,2023-02-09,reactivation
58,2023-01-19,newsletter
61,2023-01-27,reactivation
61,2023-01-11,newsletter
61,2023-01-12,promo
64,2023-02-13,reactivation
64,2023-02-17,reactivation
64,2023-02-07,update
64,2023-02-03,promo
72,2023-01-22,reactivation
72,2023-02-13,update
72,2023-01-27,newsletter
72,2023-02-12,newsletter
76,2023-01-16,reactivation
76,2023-02-01,reactivation
77,2023-02-02,reactivation
77,2023-01-18,update
77,2023-01-17,update
78,2023-02-08,reactivation
80,2023-01-24,reactivation
80,2023-02-14,newsletter
82,2023-01-07,reactivation
82,2023-01-08,update
83,2023-02-08,reactivation
86,2023-02-24,reactivation
86,2023-01-30,update
98,2023-02-12,reactivation
99,2023-01-22,reactivation
99,2023-02-16,reactivation
100,2023-02-08,reactivation
100,2023-02-11,promo
100,2023-02-17,newsletter
100,2023-02-02,promo
106,2023-01-29,reactivation
106,2023-01-15,update
106,2023-02-03,reactivation
106,2023-01-23,reactivation
110,2023-01-14,reactivation
110,2023-01-11,promo
110,2023-01-25,update
111,2023-02-07,reactivation
111,2023-02-25,reactivation
112,2023-01-29,reactivation
112,2023-01-28,reactivation
117,2023-01-23,reactivation
117,2023-01-26,update
117,2023-01-25,reactivation
120,2023-01-21,reactivation
120,2023-01-24,update
120,2023-01-27,promo
120,2023-01-25,reactivation
121,2023-01-30,reactivation
123,2023-02-17,reactivation
125,2023-01-16,reactivation
125,2023-01-17,promo
131,2023-01-29,reactivation
131,2023-02-11,promo
131,2023-01-28,update
134,2023-02-19,reactivation
136,2023-02-03,reactivation
137,2023-01-12,reactivation
141,2023-02-06,reactivation
141,2023-02-22,update
149,2023-01-19,reactivation
152,2023-02-03,reactivation
152,2023-02-17,update
152,2023-02-18,newsletter
153,2023-01-14,reactivation
153,2023-01-17,newsletter
155,2023-02-03,reactivation
155,2023-02-08,promo
155,2023-02-14,promo
155,2023-02-14,promo
157,2023-02-04,reactivation
157,2023-02-06,reactivation
157,2023-02-13,update
157,2023-01-17,update
165,2023-01-21,reactivation
165,2023-02-03,reactivation
165,2023-01-10,promo
165,2023-01-27,newsletter
167,2023-01-19,reactivation
167,2023-02-05,reactivation
167,2023-02-12,newsletter
169,2023-02-04,reactivation
169,2023-02-10,reactivation
169,2023-01-25,update
169,2023-02-13,update
170,2023-01-14,reactivation
170,2023-01-21,promo
170,2023-01-08,newsletter
170,2023-01-02,newsletter
172,2023-01-28,reactivation
172,2023-02-01,reactivation
176,2023-01-22,reactivation
176,2023-01-28,promo
176,2023-01-15,newsletter
176,2023-01-15,promo
182,2023-01-18,reactivation
188,2023-01-23,reactivation
188,2023-02-08,newsletter
194,2023-01-12,reactivation
194,2023-01-31,newsletter
194,2023-02-08,promo
195,2023-01-26,reactivation
195,2023-02-14,reactivation
198,2023-01-30,reactivation
198,2023-01-10,reactivation
199,2023-02-07,reactivation
207,2023-02-15,reactivation
207,2023-02-14,promo
207,2023-02-05,reactivation
213,2023-02-20,reactivation
213,2023-02-01,update
213,2023-02-25,promo
216,2023-01-28,reactivation
216,2023-02-16,reactivation
216,2023-02-22,promo
219,2023-02-15,reactivation
219,2023-01-31,newsletter
226,2023-01-13,reactivation
226,2023-01-30,reactivation
226,2023-02-05,update
227,2023-02-24,reactivation
227,2023-02-17,newsletter
227,2023-02-23,update
230,2023-01-16,reactivation
230,2023-01-14,newsletter
231,2023-01-22,reactivation
231,2023-02-01,newsletter
231,2023-02-10,update
231,2023-01-29,newsletter
233,2023-01-15,reactivation
233,2023-01-28,newsletter
233,2023-01-27,newsletter
233,2023-02-08,newsletter
238,2023-02-18,reactivation
238,2023-02-15,newsletter
253,2023-01-28,reactivation
253,2023-02-06,newsletter
253,2023-02-25,newsletter
257,2023-02-09,reactivation
257,2023-02-07,newsletter
257,2023-01-21,newsletter
257,2023-01-21,update
259,2023-02-02,reactivation
259,2023-02-17,update
266,2023-02-23,reactivation
268,2023-01-28,reactivation
268,2023-01-29,reactivation
269,2023-02-09,reactivation
274,2023-01-13,reactivation
274,2023-01-16,reactivation
274,2023-02-06,reactivation
274,2023-01-17,newsletter
275,2023-01-19,reactivation
276,2023-02-13,reactivation
276,2023-02-12,reactivation
277,2023-02-07,reactivation
278,2023-01-23,reactivation
286,2023-02-03,reactivation
286,2023-01-29,reactivation
286,2023-01-13,newsletter
288,2023-02-04,reactivation
288,2023-01-29,update
288,2023-02-06,newsletter
288,2023-01-20,promo
294,2023-01-10,reactivation
294,2023-01-13,reactivation
294,2023-01-23,promo
294,2023-01-26,reactivation
296,2023-02-19,reactivation
298,2023-01-27,reactivation
299,2023-01-12,reactivation
299,2023-01-25,update
299,2023-01-13,reactivation
302,2023-01-08,reactivation
302,2023-01-15,update
312,2023-01-30,reactivation
312,2023-02-06,promo
312,2023-02-02,update
312,2023-02-16,reactivation
313,2023-01-22,reactivation
313,2023-01-20,newsletter
313,2023-01-20,promo
313,2023-01-28,reactivation
314,2023-01-29,reactivation
314,2023-02-06,reactivation
314,2023-02-23,reactivation
316,2023-01-08,reactivation
316,2023-01-16,promo
319,2023-01-24,reactivation
319,2023-01-16,newsletter
321,2023-02-11,reactivation
321,2023-02-18,promo
321,2023-02-03,reactivation
322,2023-02-16,reactivation
322,2023-02-02,promo
322,2023-02-16,promo
323,2023-02-14,reactivation
324,2023-01-30,reactivation
325,2023-02-10,reactivation
325,2023-02-06,newsletter
331,2023-01-15,reactivation
331,2023-01-23,update
331,2023-02-03,update
334,2023-01-29,reactivation
342,2023-02-22,reactivation
342,2023-02-07,newsletter
342,2023-02-01,promo
342,2023-02-03,newsletter
346,2023-01-24,reactivation
346,2023-01-23,update
346,2023-01-26,update
346,2023-02-04,update
359,2023-02-02,reactivation
359,2023-02-23,newsletter
359,2023-02-10,update
368,2023-01-22,reactivation
368,2023-01-22,update
368,2023-01-22,newsletter
368,2023-01-17,reactivation
373,2023-02-03,reactivation
373,2023-02-05,newsletter
373,2023-02-09,reactivation
373,2023-01-25,promo
374,2023-01-14,reactivation
378,2023-01-22,reactivation
380,2023-02-03,reactivation
380,2023-02-28,reactivation
380,2023-01-31,promo
380,2023-02-10,newsletter
381,2023-02-09,reactivation
381,2023-01-30,update
381,2023-02-02,newsletter
385,2023-01-06,reactivation
385,2023-01-28,newsletter
386,2023-02-22,reactivation
387,2023-01-20,reactivation
387,2023-01-31,reactivation
390,2023-02-09,reactivation
390,2023-01-30,reactivation
390,2023-02-19,reactivation
390,2023-02-13,newsletter
398,2023-01-27,reactivation
400,2023-01-09,reactivation
400,2023-01-07,newsletter
400,2023-01-07,reactivation
403,2023-01-17,reactivation
403,2023-02-06,newsletter
403,2023-01-28,newsletter
403,2023-02-05,promo
404,2023-01-27,reactivation
404,2023-02-06,promo
404,2023-01-28,reactivation
404,2023-01-23,reactivation
406,2023-01-09,reactivation
406,2023-02-05,reactivation
409,2023-01-31,reactivation
409,2023-01-20,reactivation
416,2023-02-13,reactivation
416,2023-01-31,update
416,2023-02-04,promo
416,2023-02-16,promo
420,2023-01-26,reactivation
420,2023-02-11,newsletter
426,2023-01-06,reactivation
